epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1344.45,1.94426,1.44129,0.85468,0.8729,0.72727,0.81082,0.34113,2.18421,1.33397,0.93955,0.00191882,0.00191882,0.00191882
43,1376.03,1.91053,1.28221,0.8747,0.78194,0.77273,0.82977,0.36994,2.11848,1.23139,0.93033,0.00191684,0.00191684,0.00191684
44,1407.54,1.9632,1.35605,0.84012,0.85835,0.82665,0.83462,0.35721,1.94002,1.07731,0.9189,0.00191486,0.00191486,0.00191486
45,1438.86,1.8478,1.22847,0.87372,0.82717,0.68182,0.70731,0.3362,1.91453,1.1707,0.91684,0.00191288,0.00191288,0.00191288
46,1470.14,1.89942,1.29388,0.88122,0.80629,0.77273,0.77602,0.32611,2.07947,1.10037,0.93132,0.0019109,0.0019109,0.0019109
47,1501.18,2.0734,1.2683,0.90365,0.83363,0.68337,0.76527,0.32449,2.084,1.32402,0.93728,0.00190892,0.00190892,0.00190892
48,1532.67,1.84369,1.25842,0.87532,0.8162,0.60615,0.6716,0.28854,2.27721,1.56808,0.9609,0.00190694,0.00190694,0.00190694
49,1563.33,1.86902,1.2773,0.87465,0.861,0.59091,0.65949,0.3186,1.87673,1.44911,0.92202,0.00190496,0.00190496,0.00190496
50,1594.49,2.02752,1.28867,0.87069,0.82119,0.62673,0.63827,0.3003,1.91001,1.48931,0.91391,0.00190298,0.00190298,0.00190298
51,1625.71,1.77288,1.15122,0.89499,0.80505,0.68182,0.68909,0.24973,2.10059,1.62954,0.93074,0.001901,0.001901,0.001901
52,1657.68,1.99738,1.23256,0.87034,0.74463,0.63636,0.62334,0.25311,2.12179,1.70757,0.93433,0.00189902,0.00189902,0.00189902
53,1688.76,1.90379,1.17796,0.85497,0.80696,0.63636,0.67425,0.28208,1.99633,1.47362,0.92075,0.00189704,0.00189704,0.00189704
54,1719.81,1.88839,1.19168,0.8975,0.88081,0.67227,0.74994,0.29842,1.93391,1.26055,0.91559,0.00189506,0.00189506,0.00189506
55,1750.88,1.86665,1.16235,0.86092,0.8295,0.66405,0.72087,0.29509,1.90834,1.46441,0.92281,0.00189308,0.00189308,0.00189308
56,1782.59,1.80298,1.15929,0.86204,0.87264,0.62347,0.72534,0.2883,1.7601,1.5866,0.91778,0.0018911,0.0018911,0.0018911
57,1813.65,1.82103,1.03585,0.85715,0.92495,0.63636,0.74788,0.30135,1.82081,1.46523,0.91456,0.00188912,0.00188912,0.00188912
58,1845.34,1.74165,1.07463,0.8607,0.84162,0.72476,0.78299,0.27148,2.25112,1.29407,0.94156,0.00188714,0.00188714,0.00188714
59,1877.16,1.91537,1.18183,0.87885,0.8886,0.72524,0.8092,0.28473,2.23557,1.19719,0.94344,0.00188516,0.00188516,0.00188516
60,1908.61,1.87255,1.12554,0.8499,0.76168,0.72643,0.80024,0.38337,1.78106,1.09037,0.8975,0.00188318,0.00188318,0.00188318
61,1939.76,1.82518,1.07245,0.85658,0.74924,0.67921,0.77862,0.38361,1.77796,1.14653,0.89481,0.0018812,0.0018812,0.0018812
62,1971.07,1.81115,1.14612,0.82354,0.89219,0.54545,0.74799,0.3534,1.78663,1.3275,0.9005,0.00187922,0.00187922,0.00187922
63,2003.67,1.80227,1.10275,0.87161,0.85679,0.59091,0.71398,0.31597,1.8552,1.27754,0.90411,0.00187724,0.00187724,0.00187724
64,2035.21,1.92572,1.13081,0.86605,0.87312,0.62613,0.76541,0.37786,1.77844,1.24764,0.89324,0.00187526,0.00187526,0.00187526
65,2067.32,1.80509,1.01501,0.86479,0.74951,0.72727,0.77654,0.35137,1.81666,1.21414,0.88686,0.00187328,0.00187328,0.00187328
66,2099.08,1.90746,1.14732,0.8376,0.78706,0.67243,0.65831,0.29151,1.92447,1.20157,0.90389,0.0018713,0.0018713,0.0018713
67,2130.83,1.80915,1.01304,0.84682,0.8222,0.72727,0.77637,0.27814,2.197,1.18408,0.9342,0.00186932,0.00186932,0.00186932
68,2162.16,1.80555,1.00049,0.86549,0.86986,0.77273,0.82948,0.27161,2.1941,1.15565,0.93105,0.00186734,0.00186734,0.00186734
69,2193.49,1.7097,0.9562,0.87305,0.8315,0.67332,0.7323,0.30436,2.30515,1.0963,0.94595,0.00186536,0.00186536,0.00186536
70,2224.97,1.81781,1.02427,0.84696,0.81443,0.63636,0.75616,0.31899,2.11427,0.98684,0.92041,0.00186338,0.00186338,0.00186338
71,2256.41,1.73583,0.96094,0.87354,0.87802,0.68182,0.7716,0.32611,1.95927,0.96333,0.90791,0.0018614,0.0018614,0.0018614
72,2287.47,1.7489,0.96633,0.85831,0.86395,0.63636,0.75344,0.30403,2.19091,1.28175,0.93425,0.00185942,0.00185942,0.00185942
73,2318.39,1.78158,1.01019,0.85275,0.80021,0.59091,0.69479,0.25434,2.40057,1.39636,0.96874,0.00185744,0.00185744,0.00185744
74,2349.99,1.88598,1.05766,0.90317,0.71069,0.78193,0.75787,0.32417,2.08881,1.07582,0.93288,0.00185546,0.00185546,0.00185546
75,2380.93,1.86965,1.18088,0.85929,0.80521,0.63636,0.74074,0.31342,1.98562,1.04248,0.92134,0.00185348,0.00185348,0.00185348
76,2412.2,1.6608,0.90308,0.86779,0.64883,0.72727,0.73633,0.26429,2.17568,1.10063,0.9401,0.0018515,0.0018515,0.0018515
77,2443.44,1.82524,0.99209,0.85055,0.90359,0.59091,0.78131,0.27993,2.21493,1.07172,0.93679,0.00184952,0.00184952,0.00184952
78,2475.14,1.67106,0.85999,0.86927,0.74547,0.72727,0.82138,0.35402,1.69882,0.93501,0.89166,0.00184754,0.00184754,0.00184754
79,2506.99,1.74309,0.98884,0.86141,0.88235,0.68179,0.8437,0.35847,1.77383,0.94713,0.89028,0.00184556,0.00184556,0.00184556
80,2537.73,1.7383,0.92339,0.87086,0.70811,0.77273,0.78874,0.34788,1.80003,1.00088,0.89263,0.00184358,0.00184358,0.00184358
81,2569.28,1.70754,0.88876,0.84803,0.76751,0.75082,0.79557,0.35383,1.83521,1.05738,0.90309,0.0018416,0.0018416,0.0018416
82,2599.95,1.75582,0.90312,0.86161,0.88181,0.68182,0.76051,0.35747,1.87686,1.01983,0.90506,0.00183962,0.00183962,0.00183962
83,2630.66,1.60604,0.85671,0.87533,0.76642,0.68182,0.72758,0.3202,2.05748,1.12004,0.91723,0.00183764,0.00183764,0.00183764
84,2661.46,1.77472,0.90286,0.86796,0.88231,0.68152,0.75858,0.33521,1.9942,1.13141,0.90969,0.00183566,0.00183566,0.00183566
85,2692.64,1.82861,0.96074,0.87525,0.8747,0.63471,0.76621,0.32273,2.11713,1.41792,0.92703,0.00183368,0.00183368,0.00183368
86,2725.23,1.7374,0.89563,0.84638,0.92056,0.59091,0.73901,0.32135,2.04725,1.35437,0.93514,0.0018317,0.0018317,0.0018317
87,2757.25,1.7363,0.87601,0.85074,0.93238,0.62728,0.76515,0.34018,2.00411,1.33762,0.93916,0.00182972,0.00182972,0.00182972
88,2789.36,1.72348,0.87649,0.85765,0.79341,0.68182,0.84318,0.34076,2.24594,1.13705,0.96549,0.00182774,0.00182774,0.00182774
89,2820.59,1.69759,0.91672,0.85454,0.80767,0.76389,0.84007,0.35008,2.11057,1.08769,0.95313,0.00182576,0.00182576,0.00182576
90,2852.55,1.73723,0.86037,0.86194,0.87493,0.63599,0.78676,0.32396,2.10597,1.09117,0.93933,0.00182378,0.00182378,0.00182378
91,2883.86,1.81196,0.83106,0.85924,0.83303,0.72727,0.83563,0.31183,1.96506,1.03158,0.92154,0.0018218,0.0018218,0.0018218
92,2915.75,1.76164,0.92663,0.85557,0.84508,0.68182,0.81388,0.32891,1.9663,0.99371,0.92824,0.00181982,0.00181982,0.00181982
93,2947.02,1.70063,0.88054,0.87183,0.78807,0.67636,0.76029,0.29551,2.0632,1.04096,0.93249,0.00181784,0.00181784,0.00181784
94,2978.99,1.74341,0.8342,0.84468,0.74695,0.68182,0.73118,0.29763,2.21904,1.03968,0.95732,0.00181586,0.00181586,0.00181586
95,3009.95,1.88072,0.98656,0.89694,0.91713,0.59091,0.80403,0.34528,1.90514,1.09315,0.92486,0.00181388,0.00181388,0.00181388
96,3041.98,1.88979,0.9205,0.87415,0.91671,0.59091,0.78948,0.30572,1.85292,1.20994,0.91208,0.0018119,0.0018119,0.0018119
97,3073.31,1.82631,0.90721,0.86256,0.81354,0.79383,0.82593,0.30884,1.72192,1.19249,0.89213,0.00180992,0.00180992,0.00180992
98,3110.56,1.59083,0.79331,0.84904,0.75383,0.69645,0.7742,0.3032,1.8132,1.17494,0.89596,0.00180794,0.00180794,0.00180794
99,3146.67,1.71062,0.92372,0.85746,0.94117,0.72721,0.84155,0.36932,1.79951,1.08735,0.89305,0.00180596,0.00180596,0.00180596
100,3182.4,1.7283,0.9343,0.84921,0.94369,0.76221,0.83547,0.39216,1.77483,1.09616,0.89162,0.00180398,0.00180398,0.00180398
101,3215.53,1.77716,0.96638,0.84659,0.81071,0.68182,0.8027,0.36091,1.86204,1.13387,0.90036,0.001802,0.001802,0.001802
102,3247.48,1.73035,0.91669,0.85086,0.88037,0.66955,0.78727,0.3113,2.03706,1.12331,0.91053,0.00180002,0.00180002,0.00180002
103,3278.9,1.79193,0.88019,0.83547,0.86524,0.68182,0.78915,0.33073,1.92969,1.07356,0.89952,0.00179804,0.00179804,0.00179804
104,3310.52,1.75836,0.88519,0.85252,0.84176,0.7255,0.80478,0.41764,1.76252,1.09222,0.88362,0.00179606,0.00179606,0.00179606
105,3342.17,1.64772,0.82797,0.86604,0.8222,0.68182,0.76911,0.39183,1.89771,1.1372,0.89486,0.00179408,0.00179408,0.00179408
106,3373.64,1.71666,0.8457,0.83125,0.93745,0.68132,0.78441,0.39106,1.95641,1.208,0.89897,0.0017921,0.0017921,0.0017921
107,3405.33,1.75548,0.87861,0.85022,0.88314,0.63636,0.79799,0.38556,1.95209,1.25666,0.89993,0.00179012,0.00179012,0.00179012
108,3438.3,1.59632,0.86206,0.82694,0.94351,0.75969,0.81819,0.36126,2.06595,1.05863,0.92214,0.00178814,0.00178814,0.00178814
109,3469.78,1.72001,0.85404,0.85151,0.92306,0.72727,0.8038,0.30927,2.38655,1.02519,0.96994,0.00178616,0.00178616,0.00178616
110,3501.71,1.71498,0.88201,0.86576,0.83932,0.63636,0.69324,0.27326,2.48818,1.05869,0.98557,0.00178418,0.00178418,0.00178418
111,3533.2,1.67703,0.86263,0.8434,0.89792,0.80018,0.84566,0.4067,2.09042,0.96953,0.93896,0.0017822,0.0017822,0.0017822
112,3565.16,1.76662,0.90109,0.84983,0.84466,0.72727,0.83732,0.38279,2.10986,0.99779,0.95095,0.00178022,0.00178022,0.00178022
113,3596.92,1.66407,0.83879,0.83843,0.86541,0.72727,0.76575,0.2958,2.33545,1.06562,0.97897,0.00177824,0.00177824,0.00177824
114,3628.25,1.7132,0.82841,0.84253,0.88139,0.72727,0.77033,0.32084,2.2788,1.02935,0.96954,0.00177626,0.00177626,0.00177626
115,3659.77,1.63912,0.85755,0.84251,0.86922,0.77273,0.82277,0.39698,2.00722,0.97847,0.9325,0.00177428,0.00177428,0.00177428
116,3691.6,1.60319,0.75213,0.84898,0.87869,0.6592,0.7808,0.39164,1.84517,1.06988,0.91967,0.0017723,0.0017723,0.0017723
117,3723.85,1.72701,0.84671,0.83866,0.93325,0.63561,0.76645,0.3277,2.10017,1.16979,0.94398,0.00177032,0.00177032,0.00177032
118,3755.38,1.80262,0.8213,0.85437,0.93332,0.6362,0.77822,0.35588,2.11007,1.17476,0.94458,0.00176834,0.00176834,0.00176834
119,3786.66,1.75603,0.89603,0.82519,0.79774,0.72727,0.78887,0.36327,1.9715,1.06444,0.92555,0.00176636,0.00176636,0.00176636
120,3819.05,1.6418,0.81469,0.83693,0.93711,0.67752,0.82399,0.38009,2.04489,1.06018,0.93115,0.00176438,0.00176438,0.00176438
121,3850.97,1.63635,0.71588,0.84372,0.9374,0.68077,0.82854,0.3663,2.07009,1.09049,0.93403,0.0017624,0.0017624,0.0017624
122,3883.13,1.66864,0.7938,0.84825,0.88544,0.70331,0.79588,0.36958,2.18195,1.3747,0.94042,0.00176042,0.00176042,0.00176042
123,3914.65,1.70795,0.83267,0.82493,0.83193,0.67529,0.75634,0.384,2.00785,1.19787,0.92291,0.00175844,0.00175844,0.00175844
124,3946.8,1.58669,0.85636,0.83522,0.94059,0.71999,0.80048,0.3742,2.00221,0.96146,0.91447,0.00175646,0.00175646,0.00175646
125,3978.09,1.56421,0.76915,0.82383,0.88796,0.72085,0.80891,0.38611,2.0804,0.96143,0.9285,0.00175448,0.00175448,0.00175448
126,4009.68,1.64564,0.87269,0.86073,0.89388,0.76604,0.82326,0.39774,2.08098,0.90488,0.93953,0.0017525,0.0017525,0.0017525
127,4040.98,1.50772,0.78414,0.83304,0.79121,0.86364,0.80197,0.39478,1.95892,0.87734,0.92522,0.00175052,0.00175052,0.00175052
128,4072.45,1.61357,0.81915,0.84782,0.75616,0.81818,0.79144,0.39243,1.94641,0.89128,0.9236,0.00174854,0.00174854,0.00174854
129,4104.14,1.59246,0.81827,0.83645,0.78781,0.8443,0.7968,0.38324,1.92603,0.8087,0.93575,0.00174656,0.00174656,0.00174656
130,4135.6,1.58273,0.74767,0.83179,0.7893,0.85175,0.80021,0.40695,1.78434,0.72653,0.92243,0.00174458,0.00174458,0.00174458
131,4167.93,1.65728,0.78028,0.83736,0.87897,0.86364,0.86079,0.41748,2.042,0.79893,0.93667,0.0017426,0.0017426,0.0017426
132,4199.28,1.599,0.76451,0.84968,0.90413,0.8576,0.86647,0.42323,2.09107,0.81321,0.93885,0.00174062,0.00174062,0.00174062
133,4231.43,1.68595,0.77672,0.84786,0.76427,0.86364,0.8531,0.44025,1.86497,0.76512,0.91095,0.00173864,0.00173864,0.00173864
134,4262.81,1.66997,0.83167,0.85427,0.71594,0.86364,0.81914,0.38515,1.89006,0.85536,0.91242,0.00173666,0.00173666,0.00173666
135,4294.64,1.61599,0.84241,0.82615,0.76759,0.86364,0.82866,0.3605,1.90389,0.81383,0.91274,0.00173468,0.00173468,0.00173468
