epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.735,3.28623,5.26245,1.10916,0.00733,0.41509,0.00754,0.00184,2.8249,5.08205,1.02416,0.000653846,0.000653846,0.000653846
2,614.76,2.96463,3.40068,0.9971,0.00867,0.49057,0.02725,0.00992,2.61435,4.27551,1.03039,0.0011571,0.0011571,0.0011571
3,955.511,2.83158,3.16722,0.98231,0.21455,0.13208,0.12418,0.03306,3.10338,3.66082,1.15305,0.00149535,0.00149535,0.00149535
4,1263.28,2.76744,2.87184,0.97254,0.49896,0.50943,0.50092,0.09957,2.60523,2.69195,1.0544,0.0012575,0.0012575,0.0012575
5,1573.61,2.68996,2.57497,0.95209,0.59403,0.54717,0.52308,0.12667,2.40321,2.32453,1.02448,0.00101,0.00101,0.00101
6,2009.08,2.56986,2.43154,0.95165,0.58367,0.63492,0.56823,0.1754,2.27587,2.17403,1.0087,0.0007625,0.0007625,0.0007625
7,2383.41,2.56715,2.33261,0.93468,0.52632,0.58491,0.54678,0.16202,2.37965,2.11347,1.01097,0.000515,0.000515,0.000515
8,2698.68,2.53567,2.318,0.93828,0.54666,0.64151,0.5099,0.13979,2.45259,2.04481,1.01484,0.0002675,0.0002675,0.0002675
