epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1363.75,1.92072,1.6828,0.8614,0.9224,0.63636,0.73675,0.28604,2.28625,1.57407,0.96352,0.0011882,0.0011882,0.0011882
43,1396.65,2.01309,1.52022,0.89472,0.87927,0.66278,0.7372,0.31499,2.38364,1.55586,0.97169,0.0011684,0.0011684,0.0011684
44,1428.63,1.83884,1.62076,0.83943,0.93655,0.67147,0.76764,0.3519,2.19493,1.46117,0.95011,0.0011486,0.0011486,0.0011486
45,1460.68,1.83039,1.40994,0.87381,0.85815,0.77273,0.78749,0.35603,2.13575,1.45083,0.94474,0.0011288,0.0011288,0.0011288
46,1493.54,1.75996,1.4302,0.87082,0.88412,0.77273,0.74891,0.35141,2.09098,1.39794,0.93192,0.001109,0.001109,0.001109
47,1525.48,1.98506,1.43245,0.89379,0.89854,0.80553,0.82866,0.33711,2.07232,1.35723,0.92306,0.0010892,0.0010892,0.0010892
48,1557.53,1.86725,1.45435,0.88038,0.89208,0.81818,0.845,0.37892,2.0142,1.29496,0.92247,0.0010694,0.0010694,0.0010694
49,1589.12,1.79276,1.3149,0.86025,0.85522,0.80595,0.84705,0.38819,2.13177,1.29832,0.94164,0.0010496,0.0010496,0.0010496
50,1621.38,1.9451,1.38313,0.86093,0.84858,0.76456,0.83613,0.39419,2.11366,1.29733,0.93768,0.0010298,0.0010298,0.0010298
51,1653.03,1.77964,1.33657,0.89516,0.89883,0.68182,0.81107,0.35514,2.14896,1.36866,0.94215,0.00101,0.00101,0.00101
52,1685.24,1.90963,1.32126,0.87138,0.84551,0.72727,0.78305,0.33737,2.21085,1.48184,0.95109,0.0009902,0.0009902,0.0009902
53,1716.77,1.77215,1.1915,0.84152,0.87611,0.77273,0.7746,0.3205,2.22777,1.46029,0.94863,0.0009704,0.0009704,0.0009704
54,1748.97,1.83262,1.3083,0.89484,0.89529,0.7775,0.79679,0.35688,2.06968,1.36409,0.92819,0.0009506,0.0009506,0.0009506
55,1780.48,1.86161,1.26956,0.86145,0.89325,0.76119,0.78374,0.36462,2.05543,1.42607,0.93054,0.0009308,0.0009308,0.0009308
56,1812.9,1.74691,1.27505,0.86204,0.87184,0.77273,0.79887,0.31618,2.15115,1.49073,0.94217,0.000911,0.000911,0.000911
57,1844.59,1.72716,1.19142,0.84937,0.85293,0.77273,0.81919,0.32322,2.10257,1.3618,0.93887,0.0008912,0.0008912,0.0008912
58,1877.11,1.77595,1.21768,0.8671,0.80657,0.81818,0.82832,0.32978,2.01503,1.15563,0.92888,0.0008714,0.0008714,0.0008714
59,1909.33,1.78668,1.26185,0.86354,0.8225,0.81818,0.82492,0.32065,2.07073,1.18995,0.93756,0.0008516,0.0008516,0.0008516
60,1942.13,1.88059,1.26262,0.84637,0.88477,0.81818,0.82805,0.32312,2.10068,1.22758,0.94228,0.0008318,0.0008318,0.0008318
61,1974.83,1.69223,1.19176,0.84685,0.93612,0.81818,0.84193,0.35349,2.05905,1.22397,0.93558,0.000812,0.000812,0.000812
62,2006.91,1.77608,1.30707,0.8228,0.9099,0.72727,0.80132,0.34193,1.99427,1.34478,0.92796,0.0007922,0.0007922,0.0007922
63,2039.34,1.72471,1.29158,0.86655,0.8158,0.72727,0.78571,0.35883,1.91606,1.34262,0.92582,0.0007724,0.0007724,0.0007724
64,2071.04,1.82143,1.22846,0.86507,0.93275,0.63078,0.76112,0.34017,1.94265,1.32509,0.92184,0.0007526,0.0007526,0.0007526
65,2103.85,1.75807,1.11701,0.86923,0.78107,0.72727,0.76022,0.3235,1.89361,1.21259,0.9151,0.0007328,0.0007328,0.0007328
66,2135.74,1.848,1.29114,0.842,0.86631,0.63636,0.75319,0.26998,1.9971,1.24967,0.92168,0.000713,0.000713,0.000713
67,2168.5,1.72225,1.13182,0.84527,0.93646,0.67043,0.80252,0.28531,1.97504,1.28446,0.91903,0.0006932,0.0006932,0.0006932
68,2200.18,1.75495,1.12442,0.85621,0.93926,0.70359,0.75939,0.29168,1.93482,1.3105,0.91437,0.0006734,0.0006734,0.0006734
69,2232.95,1.62728,1.05434,0.87315,0.93333,0.68182,0.7493,0.31333,2.041,1.36177,0.92389,0.0006536,0.0006536,0.0006536
70,2265.17,1.65155,1.02141,0.84008,0.93993,0.71188,0.74827,0.32257,2.26594,1.41638,0.94889,0.0006338,0.0006338,0.0006338
71,2297.46,1.6509,1.07942,0.85925,0.93886,0.69862,0.73613,0.34212,2.34354,1.46816,0.95809,0.000614,0.000614,0.000614
72,2329.39,1.71711,1.10312,0.85544,0.94022,0.71541,0.749,0.34592,2.24525,1.45869,0.95609,0.0005942,0.0005942,0.0005942
73,2361.76,1.65325,1.06489,0.8426,0.92559,0.68182,0.74053,0.31931,2.29076,1.46972,0.96201,0.0005744,0.0005744,0.0005744
74,2394.11,1.75998,1.1174,0.87979,0.87597,0.72727,0.72831,0.296,2.10638,1.38763,0.94192,0.0005546,0.0005546,0.0005546
75,2425.63,1.75732,1.29986,0.84998,0.8716,0.72727,0.73396,0.31722,1.94774,1.33278,0.92576,0.0005348,0.0005348,0.0005348
76,2458.12,1.55596,0.995,0.85519,0.93398,0.72727,0.74168,0.34233,1.88564,1.30786,0.91473,0.000515,0.000515,0.000515
77,2489.41,1.68536,1.10386,0.83829,0.93216,0.72727,0.73741,0.32654,1.94354,1.31233,0.91996,0.0004952,0.0004952,0.0004952
78,2522.75,1.5976,1.0104,0.86179,0.83477,0.72727,0.72631,0.32232,2.09558,1.30098,0.93758,0.0004754,0.0004754,0.0004754
79,2554.59,1.62647,1.11846,0.85215,0.83319,0.72727,0.74207,0.34796,2.0297,1.23808,0.92808,0.0004556,0.0004556,0.0004556
80,2587.38,1.71122,0.98809,0.86,0.84819,0.76228,0.75695,0.3631,1.96174,1.20606,0.9204,0.0004358,0.0004358,0.0004358
81,2619.24,1.60092,0.95195,0.83749,0.83082,0.72727,0.77209,0.36663,1.97304,1.16612,0.92148,0.000416,0.000416,0.000416
82,2651.53,1.6272,0.9952,0.8477,0.93722,0.67876,0.76663,0.31185,2.10706,1.22082,0.93322,0.0003962,0.0003962,0.0003962
